,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,NOTA FISCAL ELETRÔNICA - DANFE. 000013528,2018-02-28,POSTO ROMUALDO LTDA.,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),373.05
1,RECIBO DE LANÇAMENTO AVULSO. 006809/016809,2018-02-08,ALMAR IMÓVEIS LTDA.,26143271000190,Estacionamento (uma vaga),362.0
2,COMPROVANTE DO CLIENTE. 1433388410,2018-02-21,ECT - EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,Postagem,8.1
3,COMPROVANTE DO CLIENTE. 1436585497,2018-02-28,ECT - EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,Postagem,3.7
4,NOTA FISCAL ELETRÔNICA DE SERVIÇO - NFS-e. 201800000000637,2018-02-06,COLOR ART RECARGAS E INFORMÁTICA LTDA.,19523987000157,Suprimentos para equipamentos de informática,120.0
5,CUPOM FISCAL - BR 149434,2018-02-27,RIBEIRO DE OLIVEIRA CIA LTDA - EPP,21562897000117,Suprimentos para equipamentos de informática,46.0
6,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1260182/02/2018,2018-02-17,TELEFÔNICA BRASIL S.A. - (VIVO).,02558157000910,Telefone Móvel,294.88
7,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700415674971,2018-02-22,TELEMAR NORTE E LESTE S/A. - (OI),33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),233.7
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700415674971,2018-02-22,TELEMAR NORTE E LESTE S/A. - (OI),33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),98.95
9,,,,,total,1207.73
