,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,DANFE 000012838,2017-08-30,Posto Romualdo LTDA,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),1117.14
1,Nota Fiscal Eletrõnica de serviços 201700000000041,2017-08-28,"Alvim Soares,Junqueira e Advogados Associados",03853408000102,* Consultoria técnica,1500.0
2,DANFE 000.000.815,2017-08-29,A Carbonaro Agua Mineral LTDA,24488698000102,Copa Interna,104.0
3,DANFE 4494,2017-08-31,Ribeiro de Oliveira &CIA LTDA,21562897000117,Copa Interna,39.2
4,Nota Fiscal de Serviços Eletrônica 201700000000488,2017-08-30,Real Copias de juiz de fora LTDA,04316977000173,Cópias xerográficas e similares,669.2
5,Nota Fiscal de Serviços Eletrônica 201700000000539,2017-08-30,União Artes Graficas LTDA,20741559000180,Impressos,1800.0
6,DANFE 4494,2017-08-31,Ribeiro de Oliveira & CIA LTDA,21562897000117,Material de expediente,389.2
7,DANFE 1427,2017-08-30,P/JF Escrita Artigos P/ Escritorio LTDA,07316990000110,Suprimentos para equipamentos de informática,499.0
8,Nota Fiscal de Telecomunicações 1700407982540,2017-08-30,OI FIXO,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),254.77
9,,,,,total,6117.74
