,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,DANFE 000012948,2017-09-29,Posto Romualdo LTDA,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),1716.4
1,Nota Fiscal Eletrõnica de Serviços 201700000000047,2017-09-29,"Alvim Soares, Junqueira e Advogados Associados",03853408000102,* Consultoria técnica,1500.0
2,DANFE 4551,2017-09-29,Ribeiro de Oliveira & Cia Ltda,21562897000117,Copa Interna,7.8
3,Nota Fiscal de Serviços Eletrônicas 201700000000574,2017-09-29,Real Copias de juiz de fora LTDA,04316977000173,Cópias xerográficas e similares,401.0
4,Nota Fiscal de Serviços Eletrônica 201700000000614,2017-09-29,União Artes Graficas LTDA,20741559000180,Impressos,700.0
5,Fatura de Locação FL19721,2017-09-19,Themauto Veiculos LTDA,01957100000173,Locação de veículos utilizados no exercício do mandato legislativo,1900.0
6,DANFE 4551,2017-09-29,Ribeiro de Oliveira & CIA LTDA,21562897000117,Material de expediente,213.1
7,DANFE 0000001960,2017-09-29,Aloisio Costa Ferreira- ME Infotoner,02017219000129,Suprimentos para equipamentos de informática,50.0
8,Nota Fiscal de Telecomunicações 1700409330654,2017-09-29,OI FIXO,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),343.24
9,,,,,total,6488.3
