,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,NOTA FISCAL ELETRÔNICA - (DANFE). 000012952,2017-09-29,POSTO ROMUALDO LTDA.,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),260.06
1,CUPOM FISCAL / BR. 136801,2017-09-26,SHOPPING DAS EMBALAGENS E FESTA LTDA- ME.,05231715000179,Copa Interna,53.3
2,RECIBO DE LANÇAMENTO AVULSO. 006809/016809,2017-09-15,ALMAR IMÓVEIS.,26143271000190,Estacionamento (uma vaga),362.0
3,COMPROVANTE DO CLIENTE. 1354790301,2017-09-06,ECT-EMP. BRAS. DE CORREIOS E TELEGRAFOS.,34028316553110,Postagem,3.6
4,COMPROVANTE DO CLIENTE. 1362157098,2017-09-22,ECT- EMP. BRAS. DE CORREIOS E TELEGRAFOS.,34028316553110,Postagem,7.2
5,CUPOM FISCAL/BR 126290,2017-09-15,RIBEIRO DE OLIVEIRA CIA LTDA - EPP.,21562897000117,Suprimentos para equipamentos de informática,39.9
6,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1436868/09/2017.,2017-09-18,TELEFONICA BRASIL S.A. (VIVO).,02558157000910,Telefone Móvel,274.88
7,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700409330654,2017-09-22,TELEMAR NORTE E LESTE S/A. (OI).,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),169.03
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700409330654,2017-09-22,TELEMAR NORTE E LESTE S/A. (OI).,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),65.61
9,,,,,total,1000.94
