,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,NOTA FISCAL ELETRÔNICA - (DANFE). 000014052,2018-06-26,POSTO ROMUALDO LTDA.,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),512.93
1,RECIBO DE ALUGUEL 006809/016809,2018-06-08,ALMAR IMÓVEIS.,26143271000190,Estacionamento (uma vaga),362.0
2,CUPOM FISCAL/BR 162402,2018-06-25,RIBEIRO DE OLIVEIRA CIA LTDA - EPP.,21562897000117,Material de expediente,33.5
3,NOTA FISCAL/SÉRIE:D 003920,2018-06-25,PAPELARIA  IRMÃOS FAZZA LTDA - ME,20346707000161,Material de expediente,114.4
4,COMPROVANTE DO CLIENTE. 1490629292,2018-06-27,ECT-EMP.BRAS. DE CORREIOS E TELEGRAFOS.,34028316221037,Postagem,8.75
5,NOTA FISCAL ELETRÔNICA DE SERVIÇO - NFS-e 201800000000825,2018-06-20,COLOR ART RECARGAS E INFORMÁTICA LTDA.,19523987000157,Suprimentos para equipamentos de informática,120.0
6,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1342785/06/2018,2018-06-19,TELEFONICA BRASIL S.A. (VIVO).,02558157000910,Telefone Móvel,296.97
7,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700420283987,2018-06-27,TELEMAR NORTE E LESTE S/A. (OI).,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),140.14
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700420283987,2018-06-27,TELEMAR NORTE E LESTE S/A. (OI).,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),88.17
9,,,,,total,1448.55
