,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,Nota Fiscal de Serviços de Telecomunicações 0715133467-0,2018-11-23,Telefônica Brasil S/A,02558157000162,Acesso a internet de escritório para representação parlamentar,144.99
1,Boleto Bancário 051,2018-11-30,Condomínio do Edifícil Sulacap,26128371000147,Aluguel de escritório para representação parlamentar,950.0
2,Nota Fiscal Eletrônica 14788,2018-11-30,Posto Romualdo Ltda,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),1227.94
3,Nota Fiscal Eletrônica 1586,2018-11-26,A Carbonaro Agua Mineral,24488698000102,Copa Interna,32.0
4,Nota Fiscal - Conta de Energia Elétrica 070513850,2018-11-23,Cemig Distribuição S.A.,06981180000116,Energia elétrica para escritório para representação parlamentar,172.79
5,Recibo S/Nº,2018-11-30,Condomínio Parking Saggioro,20439212000187,Estacionamento (uma vaga),370.0
6,Nota Fiscal Eletrônica 201800000001514,2018-11-28,Real Cópias de Juiz de Fora Ltda,04316977000173,Impressos,500.0
7,Fatura de Locação 000020,2018-11-26,Empreiteira Transtech T&D Ltda - ME,14496365000163,Locação de veículos utilizados no exercício do mandato legislativo,1800.0
8,Nota Fiscal Eletrônica 5392,2018-11-27,Ribeiro de Oliveira & Cia. Ltda.,21562897000117,Material de expediente,89.7
9,Nota Fiscal Eletrônica 5392,2018-11-27,Ribeiro de Oliveira & Cia. Ltda.,21562897000117,Suprimentos para equipamentos de informática,49.9
10,Nota Fiscal de Serviços de Telecomunicações 0237757587,2018-11-12,Telefônica Brasil S.A.,02558157000162,Telefone Móvel,289.99
11,Nota Fiscal de Serviços de Telecomunicações 315178840,2018-11-23,Claro S/A.,40432544011262,Telefone para escritório para representação parlamentar,41.55
12,Nota Fiscal de Serviços de Telecomunicações 1700425769980,2018-11-30,Oi Fixo,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),98.27
13,,,,,total,5668.86
