,documento,data_emissao,emitente,cpf_cnpj,valor
0,CUPOM FISCAL 907434,2019-01-03,Posto Romualdo LTDA,66343930000156,150.05
1,Cupom Fiscal 910413,2019-01-08,Posto Romualdo LTDA,66343930000156,150.0
2,Cupom fiscal 915239,2019-01-16,Posto Romualdo LTDA,66343930000156,100.0
3,Cupom Fiscal 179990,2019-01-22,Posto Universitario de juiz de fora,10430012000100,100.0
4,DANFe 5513,2019-01-30,Ribeiro de Oliveira & CIA LTDA,21562897000117,175.5
5,DANFE 000.001.723,2019-01-31,A Carbonaro Agua Mineral,24488698000102,104.0
6,Nota Fiscal Eletrônica de Serviços -NFS-e 201900000001659,2019-01-30,Real Copias  de juiz de fora LTDA,04316977000173,559.8
7,Nota Fiscal de Serviços Eletrônica 201900000001600,2019-01-30,União Artes Graficas LTDA,20741559000180,750.0
8,Fatura de Locação FL22069,2019-01-18,Themauto Veiculos LTDA,01957100000173,2500.0
9,DANFE 5513,2019-01-30,Ribeiro de Oliveira & CIA LTDA,21562897000117,293.2
10,Nota Fiscal Eletrônica de serviços -NFS-e 201900000000294,2019-01-28,Aloisio Costa Ferreira ME- Infotoner,02017219000129,45.0
11,Nota Fiscal  de Serviços de Telecomunicações 002515238/112018,2019-01-08,CLARO S/A,40432544011262,224.95
12,Nota Fiscal de Telecomunicação 1700427876863,2019-01-30,OI FIXO,33000118000179,270.2
13,Nota Fiscal de Telecomunicaçâo 1700426832955,2019-01-30,OI FIXO,33000118000179,287.81
