,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,NOTA FISCAL ELETRÔNICA - (DANFE). 000012702,2017-07-31,POSTO ROMUALDO LTDA.,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),530.0
1,NOTA FISCAL ELETRÔNICA - (DANFE). 000008601,2017-07-25,BATERIAS SANTO ANTÔNIO LTDA - ME.,10209824000120,* Despesas gerais com veículos utilizados no exercício do mandato legislativo (²),330.0
2,RECIBO DE LANÇAMENTO AVULSO. 006809/016809,2017-07-18,ALMAR IMÓVEIS.,26143271000190,Estacionamento (uma vaga),362.0
3,CUPOM FISCAL/BR. 113257,2017-07-06,RIBEIRO DE OLIVEIRA CIA LTDA - EPP,21562897000117,Material de expediente,99.0
4,COMPROVANTE DO CLIENTE. 1325512124,2017-07-06,ECT-EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,Postagem,25.2
5,COMPROVANTE DO CLIENTE. 1328713647,2017-07-13,ECT - EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,Postagem,6.15
6,COMPROVANTE DO CLIENTE. 1333454082,2017-07-24,ECT- EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,Postagem,11.55
7,CUPOM FISCAL/BR. 113257,2017-07-06,RIBEIRO DE OLIVEIRA CIA LTDA - EPP.,21562897000117,Suprimentos para equipamentos de informática,59.0
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1213366/07/2017,2017-07-17,TELEFONICA BRASIL S.A. (VIVO).,02558157000910,Telefone Móvel,274.88
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700405526945,2017-07-26,TELEMAR NORTE E LESTE S/A. - (OI),33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),60.92
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700405526945,2017-07-26,TELEMAR NORTE E LESTE S/A. - (OI).,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),236.89
11,,,,,total,1697.78
