,documento,data_emissao,emitente,cpf_cnpj,valor
0,Recibo do Pagador 0510110125,2017-05-03,Infoline Comunicações e Inf. Eletronicas Ltda,00958288000101,66.9
1,Recibo 4,2017-05-04,Tendencias Com. em Imóveis Eireli,07697040000183,800.0
2,Danfe 12471,2017-05-23,Posto Romualdo Ltda,66343930000156,1025.17
3,Recibo do Pagador 240000000008054790,2017-05-04,Cond. Ed. Rossi Rio Branco Corporate,20291262000160,299.5
4,NFe 3010,2017-05-23,Teixeira e Chaves Ltda,21339965001902,23.15
5,NFSe 201700000000073,2017-05-23,Posto Romualdo Ltda,66343930000156,40.0
6,Nota Fiscal série U1 NF000770575,2017-05-08,Cemig Distribuição SA,06981180000116,40.48
7,Documento de Lançamento de Arrecadação do IPTU 002644/144,2017-05-04,Prefeitura de Juiz de Fora,17783192000152,107.92
8,NFSe 201700000000048,2017-05-16,Evolução Plotagens Ltda,04441666000136,475.0
9,Fatura de Locação 185,2017-05-25,Locadora Hermom Ltda,04569904000193,2000.0
10,NFe 3010,2017-05-23,Teixeira e Chaves Ltda,21339965001902,60.3
11,NFe 99720,2017-05-09,Set Serviços Técnicos de Informatica ltda,23393267000787,85.0
12,Nota Fiscal de Serviços de Telecomunicações 1700403894827,2017-05-25,Telemar Norte Leste SA,33000118000179,489.8
