,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 00014213,2018-07-30,POSTO ROMUAL LTDA,66343930000156,,1433.08
1,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 00004159,2018-07-31,TLP COMÉRCIO DE COMBUSTIVEIS,07583737000123,['* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹)'],727.3
2,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000.001.338,2018-07-24,A CARBONARO AÁGUA MINERAL,24488698000102,['Copa Interna'],49.0
3,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 5120,2018-07-26,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,['Copa Interna'],13.2
4,NOTA FISCAL ELETRÔNICA DE SERVIÇO 201800000001217,2018-07-30,REAL CÓPIA DE JUIZ DE FORA LTDA,04316977000173,['Cópias xerográficas e similares'],72.48
5,NOTA FISCAL ELETRÔNICA DE SERVIÇOS 201800000000093,2018-07-31,RICARDO TEIXEIRA DE AGUIAR,66464488000116,['Estacionamento (uma vaga)'],290.0
6,NOTA FISCAL ELETRÔNICA DE SERVIÇOS 201800000000105,2018-07-30,J & M GRÁFICA E EDITORA LTDA,18250169000165,['Impressos'],550.0
7,FATURA 000186,2018-07-26,ESTACIONAMENTO SALVE JORGE LTDA,17509454000195,['Locação de veículos utilizados no exercício do mandato legislativo'],2300.0
8,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 5120,2018-07-26,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,['Material de expediente'],33.5
9,NOTA FISCAL DE SERVICOS DE TELECOMUNICAÇÕES 00248752/052018,2018-07-03,CLARO,40432544011262,['Telefone Móvel'],373.96
10,NOTA FISCAL DE SERVIÇOS DE TELÇECOMUNICAÇÕES 000415223/062018,2018-07-23,CLARO,40432544011262,['Telefone Móvel'],384.95
11,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700424106453,2018-07-25,OI,33000118000179,['* Telefone(s) em nome da Câmara(local e interurbano) (³)'],202.07
