,documento,data_emissao,emitente,cpf_cnpj,valor
0,NOTA FISCAL ELETRONICA 2545,2018-07-30,POSTO UNIVERSO LTDA,10513796000130,1184.64
1,NOTA FISCAL ELETRONICA DE SERVIÇOS 201800001000003,2018-07-27,ROCHA COUTO SOCIEDADE INDIVIDUAL DE ADVOCACIA,30189942000120,2800.0
2,CUPOM FISCAL 1855776,2018-07-17,@FESTAS EIRELI - EPP,11006568000217,14.95
3,NOTA FISCAL AVULSA 15979844,2018-07-31,VALTER GRAVINA ROCHA,21274803000104,31.2
4,RECIBO DE SERVIÇO 535,2018-07-03,PARK LOC SERVIÇOS LTDA,17002176000185,145.16
5,RECIBO DE SERVIÇOS 169,2018-07-26,LOCMAIS LOC CAR SERVIÇOS LTDA,27492985000176,1535.48
6,NOTA FISCAL ELETRONICA 4867,2018-07-31,GILSON L LACERDA RIBEIRO,03880787000111,213.0
7,DEMONSTRATIVO DE SERVIÇOS PRESTADOS 021,2018-07-31,EMP. BRAS. CORREIOS E TELEGRAFOS AGF SÃO SEBASTIÃO,42878561000138,227.9
8,FATURA DE SERVIÇOS DE TELEFONIA MOVEL 2121231516,2018-07-30,TELEFONICA BRASIL S/A,02558157000162,389.99
9,FATURA DE SERVIÇOS DE TELEFONIA FIXA 1700421406453,2018-07-31,OI FIXO,33000118000179,429.68
