,documento,data_emissao,emitente,cpf_cnpj,valor
0,RECIBO S/N,2017-04-12,ADMINISTRA,08291153000147,800.0
1,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 00003722,2017-04-28,TLP COMÉRCIO DE COMBUSTÍVEIS LTDA,07583737000123,805.9
2,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRONICA 4249,2017-04-24,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,12.7
3,NOTA FISCAL DE SERVIÇOS- NFS-e 201700000000221,2017-04-27,REAL CÓPIAS DE JUIZ DE FORA LTDA,04316977000173,141.6
4,NOTA FISCAL ELETRÔNICA DE SERVIÇOS NFS-e 201700000000026,2017-04-28,RICARDO TEIXEIRA DE AGUIAR,66464488000116,260.0
5,FATURA 000117,2017-04-25,ESTACIONAMENTO SALVE JORGE LTDA- ME,17509454000195,2300.0
6,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 4249,2017-04-24,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,48.45
7,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 4249,2017-04-24,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,59.0
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 00047633/032017,2017-04-25,CLARO S/A,40432544011262,472.23
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700402510631,2017-04-25,TELEMAR NORTE LESTE S/A,33000118000179,208.41
