,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 00004188,2018-08-31,TLP COMERCIO DE COMBUSTIVEIS LTDA,07583737000123,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),150.0
1,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRONICA 000014364,2018-08-31,POSTO ROMUALDO LTDA,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),1903.46
2,DOCUMENTO AUXILIARDA NOTA FISCAL ELETRONICA 000.001.390,2018-08-28,A CARBONARO AGUA MINERAL,24488698000102,Copa Interna,67.0
3,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 5211,2018-08-30,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,Copa Interna,13.2
4,nota FISCAL ELETRÔNICA DE SERVIÇOS 00000001289,2018-08-30,REAL CÓPIAS DE JUIZ DE FORA,04316977000173,Cópias xerográficas e similares,301.44
5,NOTA FISCAL ELETRÔNICA DE SERVIÇO 201800000000096,2018-08-07,RICARDO TEIXEIRA DE AGUIAR,66464488000116,Estacionamento (uma vaga),290.0
6,FATURA 0000190,2018-08-30,ESTACIONAMENTO SALVE JORGE,17509454000195,Locação de veículos utilizados no exercício do mandato legislativo,2300.0
7,DOCUMENTO AUXILIAR DA NOTA FICAL ELETRÔNICA 5211,2018-08-30,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,Material de expediente,56.5
8,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 5211,2018-08-30,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,Suprimentos para equipamentos de informática,99.3
9,NOTA FISCAL DE SERVIÇO DE TELECOMUNICAÇÕES 000304355/072018,2018-08-11,CLARO,40432544011262,Telefone Móvel,459.99
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700422515815,2018-08-24,OI,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),129.22
11,,,,,total,5587.43
