,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000018530,2018-01-25,SOLAR COMUNICAÇÕES SA,21561725000129,,128.75
1,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 00004008,2018-01-30,TLP COMÉRCIO DE COMBUSTÍVEIS LTDA,07583737000123,['* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹)'],724.81
2,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000013400,2018-01-30,POSTO ROMUALDO LTDA,66343930000156,['* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹)'],1245.97
3,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000.001.066,2018-01-17,A CARBONARO ÁGUA MINERAL LTDA,24488698000102,['Copa Interna'],86.0
4,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA- DANFE 4792,2018-01-25,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,['Copa Interna'],4.9
5,NOTA FISCAL DE SERVIÇO ELETRÔNICA 201800000000803,2018-01-22,REAL CÓPIAS DE JUIZ DE FORA LTDA,04316977000173,['Cópias xerográficas e similares'],37.32
6,NOTA FISCAL ELETRÔNICA DE SERVIÇO 201800000000070,2018-01-30,RICARDO TEIXEIRA DE AGUIAR,66464488000116,['Estacionamento (uma vaga)'],260.0
7,FATURA 000156,2018-01-26,ESTACIONAMENTO SALVE JORGE LTDA,17509454000195,['Locação de veículos utilizados no exercício do mandato legislativo'],2300.0
8,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRONICA 4792,2018-01-25,RIBEIRO DE OLVIEIRA & CIA LTDA,21562897000117,['Material de expediente'],573.4
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 00018357/122017,2018-01-20,CLARO,40432544011262,['Telefone Móvel'],402.34
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 170041473024,2018-01-25,OI,33000118000179,['* Telefone(s) em nome da Câmara(local e interurbano) (³)'],103.62
11,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700413241416,2018-01-31,OI,33000118000179,['* Telefone(s) em nome da Câmara(local e interurbano) (³)'],186.44
