,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,danfe 000018926,2018-01-16,solar comunicação s/a,21561725000129,"Assinatura de jornais, revistas e periódicos",258.0
1,danfe 000000797,2018-01-29,posto centro choferes ltda,21575972000184,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),1904.81
2,nfse 2108000000000175,2018-01-31,house criação estrategica ltda,23471850000173,* Consultoria técnica,2000.0
3,cupom fiscal 089472,2018-01-30,thomacelli com de alimentos ltda - epp,11192368000115,Copa Interna,100.0
4,nfse 210800000000071,2018-01-05,ricardo texeira de aguiar,66464488000116,Estacionamento (uma vaga),260.0
5,nfse 00001382,2018-01-16,vizion gestao de negocios empresariais ltda epp,07979987000187,Locação de softwares,586.0
6,recibo s/ numero,2018-01-02,movida locação de veiculos s/a,07976147020609,Locação de veículos utilizados no exercício do mandato legislativo,1412.27
7,danfe 4706,2018-01-16,ribeiro de oliveira&  cia ltda,21562897000117,Material de expediente,66.75
8,danfe 4706,2018-01-16,ribeiro de oliveira &cia ltda,21562897000117,Suprimentos para equipamentos de informática,295.5
9,nota fiscal 0321261148,2018-01-16,telefonica brasil s/a,02558157000162,Telefone Móvel,179.36
10,nota fiscal 1700413241416,2018-01-31,oi fixo,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),398.52
11,nota fiscal 170041473024,2018-01-31,oi fixo,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),218.89
12,,,,,total,7062.69
