,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,Nota Fiscal Eletronica 000018194,2018-01-04,Solar Comunicação S/A,21561725000129,"Assinatura de jornais, revistas e periódicos",35.6
1,Nota Fiscal Eletronica 000000151,2018-01-29,Posto Central LTDA,21549407000142,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),550.08
2,Nota Fiscal Eletronica 00001818,2018-01-29,Chaminix LTDA,20447074000188,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),268.22
3,Nota Fiscal Eletronica de Serviços 201800000002046,2018-01-12,GA Comercial LETD- EPP,02282594000104,Impressos,580.0
4,Nota Fiscal Eletronica de Serviços 201800000000006,2018-01-29,J e M Grafica e Editora Ltda,18250169000165,Impressos,90.0
5,Nota Fiscal Eletronica LTDA 00000002030,2018-01-29,Aloisio Costa Ferreira- ME,02017219000129,Suprimentos para equipamentos de informática,65.0
6,Nota Fiscal de Serviços de Telecomunicaçoes 0304814216,2018-01-04,VIVO,02558157000162,Telefone Móvel,397.73
7,Nota Fiscal de Serviços de Telecomunicações 1700413241416,2018-01-29,OI,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),181.41
8,Nota Fiscal Eletronica de Telecomunicações 170041473024,2018-01-29,OI,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),154.33
9,,,,,total,1986.63
