,documento,data_emissao,emitente,cpf_cnpj,valor
0,danfe 805,2018-03-28,posto centro choferes ltda,21575972000184,1553.85
1,nfse 201800000000198,2018-03-27,house criaçao estrategica ltda,23471850000173,2000.0
2,nfse 201800000000080,2018-03-13,ricardo teixeira de aguiar,66464488000116,260.0
3,nfse 1412,2018-03-15,vizion gestao de negocios empresariais ltda,07979987000187,586.0
4,recibo s/numero,2018-03-06,movida locação de veiculos s/a,07976147020609,1385.74
5,cupom fiscal 420015,2018-03-16,descartaveis santa rita ltda - epp,17559832000145,100.0
6,danfe 4909,2018-03-28,ribeiro de oliveira & cia ltda,21562897000117,252.2
7,danfe 4909,2018-03-28,ribeiro de oliveira & cia ltda,21562897000117,59.0
8,nota fiscal 0321261148,2018-03-14,telefonica brasil s/a,02558157000162,158.09
9,nota fiscal 1700416853428,2018-03-29,oi fixo,33000118000179,412.79
