,documento,data_emissao,emitente,cpf_cnpj,valor
0,RECIBO DE ALUGUEL 04,2018-04-16,SOUZA LIMA ADMISTRAÇAO DE IMOVEIS LTDA,18343665000163,650.0
1,RECIBO DO PAGADOR 171046,2018-04-20,INVEST ADIMISNISTRADORA E CORRETORA DE IMOVEIS,20454930000122,333.03
2,NFS-e 201800000000213,2018-04-24,HOUSE CRIAÇAO ESTRATEGICA  LTDA,23471850000173,2000.0
3,NOTA FISCAL CONTA DE ENERGIA ELETRICA 021050051,2018-04-23,CEMIG,06981180000116,39.83
4,DOCUMENTO DE LANÇAMENTO E ARRECADAÇÃO DO IMPOSTO PREDIAL E TERRITORIAL URBANO - IPTU 000936/295,2018-04-16,PREFEITURA DE JUIZ DE FORA,18338178000102,151.01
5,NFS-e 2018/49,2018-04-02,T O RIBEIRO ME,11186215000165,220.0
6,FATURA DE LOCAÇAO S/N,2018-04-09,LOCAR NEW VEICULOS E MAQUINAS LTDA,08659172000183,2250.0
7,COMPROVANTE DO CLIENTE 86050431,2018-04-17,ECT,86529443000190,299.52
8,COMPROVANTE DO CLIENTE 86090684,2018-04-19,ECT,86529443000190,2.21
9,COMPROVANTE DO CLIENTE 86130967,2018-04-23,ECT,86529443000190,76.32
10,NFS-e 201800000000009,2018-04-05,ALOISIO COSTA FERREIRA,02017219000129,39.0
11,NOTA FISCAL SERVIÇOS DE TELECOMUNICAÇÃO 0299408599,2018-04-04,TELEFONICA DO BRASIL SA,02558157000162,389.99
12,NOTA FISCAL SERVIÇOS DE TELECOMUNICAÇAO 17004418019588,2018-04-24,OI FIXO,33000118000179,341.07
