,documento,data_emissao,emitente,cpf_cnpj,valor
0,NOTA FISCAL ELETRÔNICA - DANFE. 000013776,2018-04-30,POSTO ROMUALDO LTDA.,66343930000156,698.66
1,NOTA FISCAL/SÉRIE:D 003850,2018-04-25,PAPELARIA IRMÃOS FAZZA LTDA. - ME,20346707000161,26.3
2,RECIBO DE LANÇAMENTO AVULSO. 006809/016809,2018-04-11,ALMAR IMÓVEIS LTDA.,26143271000190,362.0
3,NOTA FISCAL - MODELO 1 000074,2018-04-09,PAPELARIA  IRMÃOS FAZZA LTDA. - ME,20346707000161,87.5
4,NOTA FISCAL/SÉRIE:D 003850,2018-04-25,PAPELARIA IRMÃOS FAZZA LTDA. - ME,20346707000161,4.0
5,COMPROVANTE DO CLIENTE. 1455539579,2018-04-10,ECT-EMP. BRAS. DE CORREIOS E TELEGRAFOS.,34028316553110,6.25
6,COMPROVANTE DO CLIENTE. 1463647286,2018-04-26,ECT-EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,19.05
7,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1285139/04/2018,2018-04-17,TELFONICA BRASIL S.A. (VIVO),02558157000910,346.54
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700418019588,2018-04-17,TELEMAR NORTE E LESTE S/A. (OI),33000118000179,113.15
9,NOSTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700418019588,2018-04-17,TELEMAR NORTE E LESTE S/A. (OI),33000118000179,182.96
