,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,RECIBO/FATURA NUMERADA 257325,2017-10-05,INFOLINE COMUNICAÇÕES E INFORMAÇÕES ELETRONICAS LTDA,00958288000101,Acesso a internet de escritório para representação parlamentar,40.14
1,NOTA FISCAL DE SERVIÇO DE COMUNICAÇÃO 890813,2017-10-05,INFOLINE COMUNICAÇÕES E INFORMAÇÕES ELETRONICAS LTDA,00958288000101,Acesso a internet de escritório para representação parlamentar,26.76
2,RECIBO 9,2017-10-04,TENDENCIAS COMERCIAIS EM IMOVEIS EIRELI,07697040000183,Aluguel de escritório para representação parlamentar,850.0
3,DANFE 13031,2017-10-23,POSTO ROMUALDO LTDA,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),1905.68
4,RECIBO DO PAGADOR 140000000008560540,2017-10-05,COND ED ROSSI RIO BRANCO CORPORATE,20291262000160,Condomínio de escritório para representação parlamentar,261.76
5,NFe 902,2017-10-17,A CARBONARO AGUA MINERAL ME,24488698000102,Copa Interna,8.0
6,NFe 5293,2017-10-18,TEIXEIRA E CHAVES LTDA,21339965001902,Copa Interna,16.35
7,NOTA FISCAL SÉRIE U1 862115,2017-10-05,CEMIG DISTRIBUIÇÃO SA,06981180000116,Energia elétrica para escritório para representação parlamentar,41.87
8,DOCUMENTO DE LANÇAMENTO DE ARRECADAÇÃO DE IPTU 2644/144,2017-10-05,PREFEITURA DE JUIZ DE FORA,17783192000152,IPTU e Taxas de escritório para representação parlamentar,107.92
9,FATURA DE LOCAÇÃO 251,2017-10-27,LOCADORA HERMON LTDA,04569904000193,Locação de veículos utilizados no exercício do mandato legislativo,2000.0
10,NFe 5293,2017-10-18,TEIXEIRA E CHAVES LTDA,21339965001902,Material de expediente,41.4
11,NFAe 013396080,2017-10-05,BRUNO FLÁVIO DE SOUZA MARINHO,13763707000100,Publicidade Institucional,95.0
12,NFe 5030,2017-10-02,TEIXEIRA E CHAVES LTDA,21339965001902,Suprimentos para equipamentos de informática,32.0
13,Nota Fiscal de Serviços de Telecomunicação 1700410705412,2017-10-30,Telemar Norte Leste SA,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),386.71
14,,,,,total,5426.88
