,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,RECIBO DE ALUGUEL 05,2018-05-14,SOUZA LIMA ADMINISTRAÇAO DE IMOVEIS LTDA,18343665000163,Aluguel de escritório para representação parlamentar,650.0
1,RECIBO DO PAGADOR 176265,2018-05-21,INVEST ADIMINTRADORA CORRETORA DE IMOVEIS,20454930000122,Condomínio de escritório para representação parlamentar,333.55
2,NFS-e 201800000000223,2018-05-25,HOUSE CIAÇÃO ESTRATEGICA LTDA,23471850000173,* Consultoria técnica,2000.0
3,NOTA FISCAL DE ENERGIA ELETRICA 027901362,2018-05-18,CEMIG DISTRIBUIÇAO LTDA,06981180000116,Energia elétrica para escritório para representação parlamentar,38.45
4,RECIBO DE IPTU 04,2018-05-14,PREFEITURA DE JUIZ DE FORA,18343665000163,IPTU e Taxas de escritório para representação parlamentar,151.01
5,NFS-E 2018/62,2018-05-02,T O RIBEIRO ME,11186215000165,Locação de softwares,220.0
6,FATURA DE LOCAÇÃO S/N,2018-05-09,LOCAR NEW VEICULOS E MAQUINAS LTDA,08659172000183,Locação de veículos utilizados no exercício do mandato legislativo,2250.0
7,COMPROVANTE DO CLIENTE 0029,2018-05-08,ECT,86529443000190,Postagem,155.52
8,COMPROVANTE DO CLIENTE 0017,2018-05-14,ECT,86529443000190,Postagem,72.72
9,COMPROVANTE DO CLIENTE 0024,2018-05-22,ECT,86529443000190,Postagem,98.02
10,NOTA FISCAL SERVIÇOS  DE TELECOMUNICAÇÃOES 0299408599,2018-05-04,TELEFONICA DO BRASIL S.A,02558157000162,Telefone Móvel,389.99
11,NOTA FISCAL DE SERVIÇOS DETELECOMUNICOES 1700419157952,2018-05-25,OI FIXO,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),398.71
12,,,,,total,6359.26
